Date	IMX
2021-06-08	0.202006
2021-06-07	0.228230
2021-06-06	0.235370
2021-06-05	0.240651
2021-06-04	0.230217
2021-06-03	0.233036
2021-06-02	0.207202
2021-06-01	0.240756
2021-05-31	0.209492
2021-05-30	0.193591
2021-05-29	0.209824
2021-05-28	0.244600
2021-05-27	0.282161
2021-05-26	0.242677
2021-05-25	0.236169
2021-05-24	0.200766
2021-05-23	0.299314
2021-05-22	0.320509
2021-05-21	0.408877
2021-05-20	0.364004
2021-05-19	0.446074
2021-05-18	0.464193
2021-05-17	0.520271
2021-05-16	0.576795
2021-05-15	0.736865
2021-05-14	0.736721
2021-05-13	0.828731
2021-05-12	0.897202
2021-05-11	0.713608
2021-05-10	0.648282
2021-05-09	0.868114
2021-05-08	0.719694
2021-05-07	0.676002
2021-05-06	0.985957
2021-05-05	1.162675
2021-05-04	1.941820
2021-05-03	1.724048
2021-05-02	
2021-05-01	
2021-04-30	
2021-04-29	
2021-04-28	
2021-04-27	
2021-04-26	
2021-04-25	
2021-04-24	
2021-04-23	
2021-04-22	
2021-04-21	
2021-04-20	
2021-04-19	
2021-04-18	
2021-04-17	
2021-04-16	
2021-04-15	
2021-04-14	
2021-04-13	
2021-04-12	
2021-04-11	
2021-04-10	
2021-04-09	
2021-04-08	
2021-04-07	
2021-04-06	
2021-04-05	
2021-04-04	
2021-04-03	
2021-04-02	
2021-04-01	
2021-03-31	
2021-03-30	
2021-03-29	
2021-03-28	
2021-03-27	
2021-03-26	
2021-03-25	
2021-03-24	
2021-03-23	
2021-03-22	
2021-03-21	
2021-03-20	
2021-03-19	
2021-03-18	
2021-03-17	
2021-03-16	
2021-03-15	
2021-03-14	
2021-03-13	
2021-03-12	
2021-03-11	
2021-03-10	
2021-03-09	
2021-03-08	
2021-03-07	
2021-03-06	
2021-03-05	
2021-03-04	
2021-03-03	
2021-03-02	
2021-03-01	
2021-02-28	
2021-02-27	
2021-02-26	
2021-02-25	
2021-02-24	
2021-02-23	
2021-02-22	
2021-02-21	
2021-02-20	
2021-02-19	
2021-02-18	
2021-02-17	
2021-02-16	
2021-02-15	
2021-02-14	
2021-02-13	
2021-02-12	
2021-02-11	
2021-02-10	
2021-02-09	
2021-02-08	
2021-02-07	
2021-02-06	
2021-02-05	
2021-02-04	
2021-02-03	
2021-02-02	
2021-02-01	
2021-01-31	
2021-01-30	
2021-01-29	
2021-01-28	
2021-01-27	
2021-01-26	
2021-01-25	
2021-01-24	
2021-01-23	
2021-01-22	
2021-01-21	
2021-01-20	
2021-01-19	
2021-01-18	
2021-01-17	
2021-01-16	
2021-01-15	
2021-01-14	
2021-01-13	
2021-01-12	
2021-01-11	
2021-01-10	
2021-01-09	
2021-01-08	
2021-01-07	
2021-01-06	
2021-01-05	
2021-01-04	
2021-01-03	
2021-01-02	
2021-01-01	
2020-12-31	
2020-12-30	
2020-12-29	
2020-12-28	
2020-12-27	
2020-12-26	
2020-12-25	
2020-12-24	
2020-12-23	
2020-12-22	
2020-12-21	
2020-12-20	
2020-12-19	
2020-12-18	
2020-12-17	
2020-12-16	
2020-12-15	
2020-12-14	
2020-12-13	
2020-12-12	
2020-12-11	
2020-12-10	
2020-12-09	
2020-12-08	
2020-12-07	
2020-12-06	
2020-12-05	
2020-12-04	
2020-12-03	
2020-12-02	
2020-12-01	
2020-11-30	
2020-11-29	
2020-11-28	
2020-11-27	
2020-11-26	
2020-11-25	
2020-11-24	
2020-11-23	
2020-11-22	
2020-11-21	
2020-11-20	
2020-11-19	
2020-11-18	
2020-11-17	
2020-11-16	
2020-11-15	
2020-11-14	
2020-11-13	
2020-11-12	
2020-11-11	
2020-11-10	
2020-11-09	
2020-11-08	
2020-11-07	
2020-11-06	
2020-11-05	
2020-11-04	
